number,smiles,,
66,NC1=CC=C(CCC2=CC=C(N)C=C2)C=C1,52,
67,NC1=CC=C(/C=C/C2=CC=C(N)C=C2)C=C1,53,
68,NC1=CC=C(OC2=CC=C(C=CC(OC3=CC=C(N)C=C3)=C4)C4=C2)C=C1,54,
69,NC1=CC=C(CC2=CC(C)=C(N)C=C2)C=C1C,55,
70,NC1=CC(C(F)(F)F)=C(OC2C(OCC3OC4=C(C(F)(F)F)C=C(N)C=C4)C3OC2)C=C1,56,
71,NC1=CC=C(OC2C(OCC3OC4=CC=C(N)C=C4)C3OC2)C=C1,57,
72,NC1C(OCC2N)C2OC1,58,
73,NC1=CC(C(F)(F)F)=C(OC2=CC(OC3=CC=C(S(C4=CC=C(OC5=CC(OC6=C(C(F)(F)F)C=C(N)C=C6)=CC(OC7=CC=C(N)C=C7C(F)(F)F)=C5)C=C4)(=O)=O)C=C3)=CC(OC8=CC=C(N)C=C8C(F)(F)F)=C2)C=C1,59,
75,NC1=CC=C(C2(C(C=CC=C3)=C3C4=C2C=CC=C4)C5=CC=C(N)C=C5)C=C1,60,
76,NC1=CC=C(OC2=NC=CC(OC3=CC=C(N)C=C3)=N2)C=C1,61,
77,NC1=CC=C(OC2=NN=C(OC3=CC=C(N)C=C3)C=C2)C=C1,62,1
78,NC1=CC=C(OC2=CC=C(C(C)(C3=CC=C(OC4=C(C#N)C=C(N)C=C4)C=C3)C)C=C2)C(C#N)=C1,63,
79,NC1=CC(C(F)(F)F)=C(OC2=CC(OC3=CC=C(N)C=C3C(F)(F)F)=CC(OC4=C(F)C(F)=C(C=C)C(F)=C4F)=C2)C=C1,64,
80,NC1=CC(C(F)(F)F)=C(OC(C=C2)=CC=C2OC3=C(C(F)(F)F)C=C(N)C=C3)C=C1,65,
81,NC1=NC(N)=CC(N)=N1,66,
82,NC1=CC=C(OC2=CC=C(S(C3=CC=C(OC4=CC=C(N)C=N4)C=C3)(=O)=O)C=C2)N=C1,67,
83,NC1=CC=C(OC2=CC=C(SC3=CC=C(OC4=CC=C(N)C=N4)C=C3)C=C2)N=C1,68,
84,NC1=CC=C(OC2=CC=C(OC3=CC=C(OC4=CC=C(N)C=N4)C=C3)C=C2)N=C1,69,1
85,NCCCCCCN,70,
86,NCCCCCCCCCCCCN,71,
87,NC1CCC(CC2CCC(N)CC2)CC1,72,
88,NC1CCC(CC2CC(C)C(N)CC2)CC1C,73,
89,NC1=C(C(C)C)C=C(C(C2=CC=C(C(F)(F)F)C=C2)C3=CC=C(N)C(C(C)C)=C3)C=C1,74,
94,NC1=C(OC2=CC=C(C(C(F)(F)F)(C(F)(F)F)C3=CC=C(OC4=C(N)C=C(N)C=C4)C=C3)C=C2)C=CC(N)=C1,75,
95,NC1=CC(C(F)(F)F)=C(OC2=CC(OC3=C(C(F)(F)F)C=C(N)C=C3)=CC=C2)C=C1,76,
96,NC1=CC=C(C2=CC=C(N)C(C(C)(C)C)=C2)C=C1C(C)(C)C,77,
97,NC1=CC=C(OC2=CC=C(C(C(F)(F)F)(C(F)(F)F)C3=CC=C(OC4=CC=C(N)C=C4)C=C3)C=C2)C=C1,78,
